feature,importance
categorical__IDX_235066.0,0.0014624784
categorical__IDX_413040.0,0.0014571858
categorical__IDX_381750.0,0.0014514413
categorical__IDX_301825.0,0.0014499169
categorical__IDX_306440.0,0.0014472425
categorical__IDX_281134.0,0.0014437329
categorical__Brand_SYOSS,0.0014431644
categorical__IDX_425535.0,0.0014320106
categorical__IDX_380631.0,0.0014224972
categorical__Brand_WORLD CART,0.0014211406
categorical__IDX_359740.0,0.0014152416
categorical__IDX_436219.0,0.0014147148
categorical__IDX_359742.0,0.0014120172
categorical__IDX_301213.0,0.0014062517
categorical__IDX_282593.0,0.0014007172
categorical__Brand_FRITT,0.0013742526
categorical__Brand_DISCREET,0.00136821
categorical__IDX_381495.0,0.0013589922
categorical__IDX_277185.0,0.0013562847
categorical__Brand_CATRICE,0.0013562378
categorical__Brand_CURAPROX,0.0013486778
categorical__Brand_LONG 4 LASHES,0.0013444367
categorical__IDX_250020.0,0.0013335212
categorical__IDX_370660.0,0.0013330227
categorical__Brand_WILKINSON,0.001327649
categorical__IDX_232456.0,0.00132042
categorical__IDX_355799.0,0.0013195958
categorical__IDX_386854.0,0.0013186024
categorical__IDX_376126.0,0.0013164904
categorical__IDX_386256.0,0.0013107557
categorical__IDX_215283.0,0.0013033623
categorical__IDX_214462.0,0.0012861381
categorical__IDX_411820.0,0.0012860649
categorical__IDX_263620.0,0.0012821972
categorical__DIV2_82206.0,0.0012705022
categorical__IDX_355798.0,0.0012691362
categorical__IDX_264552.0,0.0012645464
categorical__IDX_356680.0,0.0012358719
categorical__Brand_GILLETTE,0.0012171731
categorical__IDX_307856.0,0.0012077102
categorical__IDX_386156.0,0.0012005403
categorical__IDX_230507.0,0.0011772241
categorical__IDX_354444.0,0.0011707328
categorical__Brand_BIELENDA,0.0011631277
categorical__IDX_381724.0,0.0011625425
categorical__IDX_281133.0,0.001148763
categorical__IDX_305920.0,0.001145932
categorical__IDX_226732.0,0.0011436811
categorical__IDX_374199.0,0.0011296433
categorical__IDX_229585.0,0.0011193454
categorical__IDX_274773.0,0.0010973185
categorical__IDX_218152.0,0.0010834765
categorical__IDX_262124.0,0.001075945
categorical__IDX_295232.0,0.0010663384
categorical__IDX_267991.0,0.0010619698
categorical__IDX_420493.0,0.0010537328
categorical__IDX_370659.0,0.0010469309
categorical__IDX_363800.0,0.0010451464
categorical__IDX_362836.0,0.0010377282
categorical__IDX_288951.0,0.0010299812
categorical__IDX_217935.0,0.0010275239
categorical__IDX_277241.0,0.0010016577
categorical__IDX_235060.0,0.0009996386
categorical__Brand_DERMEDIC,0.0009921661
categorical__DIV2_82203.0,0.0009919736
categorical__DIV2_81202.0,0.0009914453
categorical__Brand_HEAN,0.0009909333
categorical__IDX_312610.0,0.0009816111
categorical__Brand_O.B.,0.00097428047
categorical__IDX_213714.0,0.0009671288
categorical__IDX_378802.0,0.0009660012
categorical__IDX_279558.0,0.00095316395
categorical__IDX_213703.0,0.00091998075
categorical__IDX_424719.0,0.00091390806
categorical__IDX_406850.0,0.00090467994
categorical__IDX_274049.0,0.00089969626
categorical__IDX_218743.0,0.0008797923
categorical__IDX_256965.0,0.00086876994
categorical__IDX_298246.0,0.0008651856
categorical__DIV2_82106.0,0.00085821655
categorical__Brand_JORDAN,0.0008497463
categorical__IDX_424294.0,0.0008421362
categorical__IDX_364101.0,0.0008389642
categorical__IDX_217962.0,0.00082829106
categorical__IDX_415038.0,0.0008029539
categorical__IDX_369455.0,0.0008026504
categorical__IDX_425540.0,0.0008023376
categorical__IDX_407012.0,0.00080105633
categorical__Brand_ORAL-B,0.0007952067
categorical__IDX_213747.0,0.00078636035
categorical__Brand_BELLA,0.00078613375
categorical__IDX_380137.0,0.00076543906
categorical__IDX_232470.0,0.0007616877
categorical__IDX_261138.0,0.0007558502
categorical__IDX_359738.0,0.0007505111
categorical__IDX_412998.0,0.00075002515
categorical__IDX_270761.0,0.0007479813
categorical__Brand_VASELINE,0.0007399277
categorical__IDX_370323.0,0.0007225585
categorical__IDX_298198.0,0.0007042883
categorical__IDX_356368.0,0.00069655094
categorical__IDX_361136.0,0.00068701844
categorical__IDX_305921.0,0.0006697266
categorical__IDX_361295.0,0.0006611173
categorical__IDX_293569.0,0.00066005473
categorical__IDX_375891.0,0.00063365785
categorical__IDX_371911.0,0.00063181267
categorical__Brand_TOŁPA,0.0006288784
categorical__IDX_424721.0,0.00061778346
categorical__IDX_383402.0,0.00061216386
categorical__IDX_298248.0,0.0006099841
categorical__IDX_377020.0,0.00060774386
categorical__IDX_413353.0,0.00057480665
categorical__IDX_361137.0,0.00057393423
categorical__IDX_282298.0,0.0005566654
categorical__IDX_293592.0,0.0005559178
categorical__IDX_381747.0,0.0005533286
categorical__IDX_425586.0,0.00054000225
categorical__IDX_265931.0,0.0005368677
categorical__IDX_217503.0,0.0004949406
categorical__IDX_217947.0,0.0004615851
categorical__IDX_404439.0,0.0004591629
categorical__DIV2_82102.0,0.00044644895
categorical__IDX_267740.0,0.0004386604
categorical__IDX_228323.0,0.00043822054
categorical__IDX_243626.0,0.00038609243
categorical__IDX_298247.0,0.00037417826
categorical__Brand_LE PETIT MARSEILLAIS,0.00036194662
categorical__IDX_274167.0,0.00036059666
categorical__DIV2_82201.0,0.00035932034
categorical__IDX_278293.0,0.00034526907
categorical__Brand_BIOELIXIRE,0.00033797813
categorical__IDX_377035.0,0.00033310667
categorical__Brand_BATISTE,0.00030764524
categorical__IDX_323135.0,0.00030480206
categorical__IDX_270200.0,0.00030255932
categorical__IDX_377163.0,0.00028833508
categorical__Brand_COLGATE,0.00028641862
categorical__IDX_291459.0,0.00025214802
categorical__IDX_414013.0,0.0002501135
categorical__Brand_OSHEE,0.00024918548
categorical__IDX_293112.0,0.00024696082
categorical__IDX_323134.0,0.00024042088
categorical__IDX_215328.0,0.00023982537
categorical__IDX_306197.0,0.00022178114
categorical__IDX_217497.0,0.00020365974
categorical__IDX_357828.0,0.00019538582
categorical__IDX_381751.0,0.00017850279
categorical__IDX_254660.0,0.00017362638
categorical__Brand_DOVE,0.00016415447
categorical__IDX_380223.0,0.0001617603
